Название фильма и краткое описание,URL
"
Колония Дигнидад
Год: 2016
Страна: Германия, Франция, Люксембург, Великобритания, США
Жанр: триллер, драма, мелодрама
Длительность: 110 мин.
КиноПоиск: 7.3
IMDb: 7.1

В 1973 году немецкая супружеская пара – фотограф Даниэль и стюардесса Лена оказываются втянутыми в чилийский государственный переворот, когда сторонников свергнутого президента Сальвадора Альенде окружают военные под командованием генерала Аугусто...

",https://filmshd.club/3664-kolonija-dignidad.html
"
Герой
Год: 2016
Страна: Россия
Жанр: драма, военный
Длительность: 80 мин.
КиноПоиск: 5.6
IMDb: 5

Автомеханик Андрей Петрович Куликов получил от коллекционера раритетных машин ответственное задание, поехать в Париж и договориться о покупке редкого экземпляра первого русского автомобиля Руссо-Балт у княгини Елизаветы Ивановной Езерской. Заказчик...

",https://filmshd.club/3663-geroj.html
"
Миссия в Майами
Год: 2015
Страна: США
Жанр: боевик, комедия
Длительность: 102 мин.
КиноПоиск: 6.1
IMDb: 5.9

Детектив полиции Атланты Джеймс вместе с напарником Мэйфилдом проникли на закрытую встречу автомобилистов, что была прикрытием для разыскиваемого торговца наркотиками Троя. Новичок Бен, недавно окончивший полицейскую академию, остался сидеть в...

",https://filmshd.club/3662-missija-v-majami.html
"
Ограбление по Фрейду
Год: 2019
Страна: Венгрия
Жанр: мультфильм, боевик, триллер, драма, криминал
Длительность: 94 мин.
IMDb: 7.8

Знаменитый талантливый психотерапевт с многолетним стажем, Рубен Брант лечит закоренелых преступников и с легкостью справляется с любыми их проблемами, но, после недавней смерти отца, сам мучается от ночных кошмаров. Во снах его постоянно преследуют...

",https://filmshd.club/3332-ograblenie-po-freydu.html
"
Лимонад
Год: 2018
Страна: Румыния, Канада, Германия, Швеция
Жанр: драма
Длительность: 85 мин.
IMDb: 6.7

Молодая румынская женщина Мара долго не могла найти счастья в личной жизни. С последнего ее знакомства появился сын Драгос, а теперь ему уже 9 лет. Постоянно бросаясь в крайности, она не знала куда податься из-за чего решилась на рискованное...

",https://filmshd.club/3660-limonad.html
"
Похищение
Год: 2019
Страна: Китай
Жанр: боевик
Длительность: 99 мин.

Главный герой очнулся в городском фонтане посреди оживленной улицы. Кругом суетились прохожие, громко сигналили застрявшие в пробке автомобили, а до самых облаков устрашающе возвышались небоскребы. Мужчина не узнавал этого места и хуже всего, не мог...

",https://filmshd.club/3659-pohischenie.html
"
Во время грозы
Год: 2018
Страна: Испания
Жанр: триллер, драма, фэнтези
Длительность: 129 мин.
КиноПоиск: 7.2
IMDb: 7.5

В день падения Берлинской стены 9 ноября 1989 года в небе над небольшим испанским городком стояла сильная гроза. 12-летний Нико, воспитываемый матерью-одиночкой Марией, мечтал стать рок-музыкантом. Он садился перед видеокамерой с гитарой в руках,...

",https://filmshd.club/3658-vo-vremja-grozy.html
"
Из ниоткуда
Год: 2018
Страна: США, Великобритания
Жанр: драма, криминал, детектив
Длительность: 109 мин.
IMDb: 5.4

Детектив полиции Майк Хулихан прожила долгую и насыщенную жизнь. Ей довелось повидать немало запутанных дел, которые в итоге раскрывались под натиском ее нестандартного ума. Она пользовалась уважением среди коллег и вскоре должна была уходить на...

",https://filmshd.club/3657-iz-niotkuda.html
"
Молчание
Год: 2019
Страна: Германия
Жанр: ужасы
Длительность: 91 мин.

Любопытные спелеологи, исследующие древнюю молдавскую пещеру, нечаянно выпускают в мир ужасающих монстров. Их полупрозрачные организмы по строению схожи с телами летучих мышей, но намного превосходят их в размерах. Из-за абсолютной слепоты чудовища...

",https://filmshd.club/1647-molchanie.html
"
Крутой мужик
Год: 2019
Страна: Китай
Жанр: драма, боевик, криминал
Длительность: 108 мин.
IMDb: 5.8

Офицер китайской полиции Сунь Дашенг зарекомендовал себя как бескомпромиссного и крайне исполнительного человека. Он без страха и упрека ввязывается в бесшабашные авантюры, рискует собственной жизнью и здоровьем, делает все, ради сохранения...

",https://filmshd.club/3654-krutoj-muzhik.html
"
Асако 1 и 2
Год: 2018
Страна: Япония, Франция
Жанр: драма, мелодрама
Длительность: 121 мин.
IMDb: 6.6

21-летняя Асако была атакована на улице бесшабашными хулиганами, кинувшие ей под ноги петарды, но она вовсе не испугалась, ведь перед ее взглядом предстал он – молодой, стройный и в меру неотесанный Баку. Юноша смотрел на нее влюбленными глазами и...

",https://filmshd.club/3653-asako-1-i-2.html
"
Кто будет тебе петь
Год: 2018
Страна: Испания, Франция
Жанр: драма, детектив, музыка
Длительность: 126 мин.
IMDb: 7.4

Некогда знаменитая певица Лила Кассен утратила память, совершенно позабыв о своем славном прошлом. Выйдя прогуляться на пляж со своего особняка, она не вернулась, что вызвало обеспокоенность у ее лучшей подруги Бланки. Женщину нашли в...

",https://filmshd.club/3652-kto-budet-tebe-pet.html
"
Потерянный остров
Год: 2019
Страна: Россия
Жанр: драма, триллер, детектив
Длительность: 88 мин.

Талантливый молодой репортер Игорь Воеводин отправляется в командировку на отдаленный остров Рикоту, рассчитывая написать яркий, интересный и увлекательный репортаж о Сахалине и крошечном рыбачьем поселке, в котором живут всего двенадцать человек....

",https://filmshd.club/3349-poteryannyy-ostrov.html
"
Воздушный шар
Год: 2018
Страна: Германия
Жанр: триллер, драма, история
Длительность: 125 мин.
IMDb: 7.8

По официальной статистике с 1976 года по 1988-й жители Восточной Германии предприняли 38 тысяч попыток пересечь западную границу. Приблизительно 462 мужчин, женщин и детей были убиты. Летом 1979-го в Тюрингене две прогрессивные семьи затевают...

",https://filmshd.club/3650-vozdushnyj-shar.html
"
Амундсен
Год: 2019
Страна: Норвегия
Жанр: приключения, биография, драма, история
Длительность: 120 мин.
IMDb: 6.9

В центре драматической сюжетной линии удивительная жизнь и непростая судьба путешественника, первым покорившим южный и северный географические полюса нашей планеты, Рауля Амундсена. Далеко за полярным кругом находится легендарный северо-западный...

",https://filmshd.club/2867-amundsen.html
"
Ури: Нападение на базу
Год: 2019
Страна: Индия
Жанр: боевик, драма, военный, история
Длительность: 133 мин.
IMDb: 9

Фильм разделен на 5 полноценных частей, где показаны события контртеррористической операции сил индийского спецназа. Первая глава начинается с засады в июне 2015 года на конвой правительственных войск в Чанделе, Манипур, со стороны боевиков. В...

",https://filmshd.club/3649-uri-napadenie-na-bazu.html
"
Спасти тигра
Год: 2019
Страна: США
Жанр: документальный
Длительность: 85 мин.
IMDb: 4.9

Еще с наскальных рисунков первых людей можно понять, что тигры занимали важную роль в формировании человечества. Некоторые пещерные народы воспринимали удивительных полосатых животных как священных созданий, делая им жертвоприношения и посвящая...

",https://filmshd.club/3648-spasti-tigra.html
"
Король велосипеда Ом Бок-тон
Год: 2019
Страна: Корея Южная
Жанр: драма, биография, история, спорт
Длительность: 118 мин.

В начале 20 столетия азиатское государство Чосон прекратило свое существование по причине вторжения японской императорской армии на его территорию. В 1910 году оккупанты официально аннексировали весь полуостров, после чего начался затяжной этап...

",https://filmshd.club/3647-korol-velosipeda-om-bok-ton.html
"
Сирано. Успеть до премьеры
Год: 2019
Страна: Франция, Бельгия
Жанр: драма, комедия, история
Длительность: 100 мин.
IMDb: 7.5

Тридцатилетний драматург Эдмон Ростан уже пару лет пребывает в творческом кризисе, вдохновение окончательно покинуло его, а будущее представляется исключительно в мрачных тонах. Мужчина женат, у него двое прекрасных сыновей, но детям нужна еда,...

",https://filmshd.club/3179-sirano-uspet-do-premery.html
"
Удивительный мир Марвена
Год: 2018
Страна: США
Жанр: фэнтези, драма, комедия, биография
Длительность: 116 мин.
IMDb: 5.9

Американский художник и фотограф Марк Хоганкэмп всегда был замкнутым и нелюдимым человеком, но его работы вызывали неподдельное восхищение у публики. Он не раз выставлялся на международных галереях, но особого признания не получил. Ведя...

",https://filmshd.club/3645-udivitelnyj-mir-marvena.html
"
По пятам: Дьявольская рыба
Год: 2018
Страна: Тайвань
Жанр: ужасы
Длительность: 116 мин.
IMDb: 4.7

Еще со стародавних времен озеро Лантань окутано мистикой и недосказанностью. Ходят поверья, что во времена династии Мин в этом месте обитали демоны, не дающие покоя местным жителям. Чтобы одолеть бессмертных монстров был вызван из столицы командир...

",https://filmshd.club/3644-po-pjatam-djavolskaja-ryba.html
"
Питомец Юрского периода
Год: 2019
Страна: США
Жанр: приключения, семейный
Длительность: 85 мин.

Любознательный и добросердечный подросток по имени Крис чудесным образом получает от призрака владельца антикварного магазина необыкновенный подарок – огромную старинную коробку, внутри которой находится настоящее яйцо динозавра. Он не отнесся к...

",https://filmshd.club/3631-pitomec-jurskogo-perioda.html
"
Ван Гоги
Год: 2019
Страна: Россия
Жанр: драма
Длительность: 99 мин.
КиноПоиск: 6.9
IMDb: 6.9

Будучи юношей, Марк, не сумев отыскать общий язык с родственниками, принял решение навсегда уехать из России и отправился покорять далекую Америку. С тех пор прошло немало лет, парень превратился во взрослого мужчину, и, обладая художественным...

",https://filmshd.club/2454-van-gogi.html
"
Человечнее человека
Год: 2018
Страна: Нидерланды
Жанр: документальный
Длительность: 80 мин.
IMDb: 5.9

Резонансная документальная лента, ставящая под сомнение факт того, что человек является венцом эволюции. Каждое живое создание имеет начало и конец своего развития, и окончанием существования человечества станет развитие робототехники. Людская...

",https://filmshd.club/3643-chelovechnee-cheloveka.html
"
Как я стал…
Год: 2018
Страна: Россия
Жанр: драма
Длительность: 102 мин.

«Золотой мальчик» Александр Бондарь никогда не знал финансовых нужд по причине состоятельного отца-бизнесмена. Роскошный образ жизни и повышенное внимание противоположного пола избаловали юношу, из-за чего он превратился в капризного и...

",https://filmshd.club/3642-kak-ja-stal.html
"
На войне
Год: 2018
Страна: Франция
Жанр: драма
Длительность: 115 мин.
IMDb: 7

Два года назад французская компания с хорошей репутацией «Perrin Industry Factory» была на грани банкротства, что грозило лишению работы более 1100 сотрудников. Чтобы выйти из кризиса, она заключила контракт на сотрудничество с немецкой фирмой...

",https://filmshd.club/3640-na-vojne.html
"
Потерянное звено
Год: 2019
Страна: США, Канада
Жанр: мультфильм, фэнтези, комедия, приключения, семейный
Длительность: 88 мин.
IMDb: 6.8

Любознательный и самоуверенный мистер Лайонел Фрост считает себя лучшим исследователем мифов и загадочных монстров. Однако коллеги упорно отказываются согласиться с этим заявлением. Однажды, когда на собрании он выдвинул гипотезу, что на земле до...

",https://filmshd.club/3257-poteryannoe-zveno.html
"
Нэнси Дрю и потайная лестница
Год: 2019
Страна: США
Жанр: драма, криминал, детектив, семейный
Длительность: 90 мин.
IMDb: 5.9

16-летняя школьница Нэнси Дрю недавно пережила смерть любимой матери, но не пала духом. Вместе с овдовевшим отцом Карсоном, она перебралась жить из густонаселенного Чикаго в провинциальный городок Ривер-Хайтс, где вскоре нашла несколько хороших...

",https://filmshd.club/3639-njensi-drju-i-potajnaja-lestnica.html
"
Симмба
Год: 2018
Страна: Индия
Жанр: боевик, драма, комедия, криминал
Длительность: 154 мин.
IMDb: 6.4

Санграм Балерао по прозвищу ""Симмба"" сирота из Шивгадха, что еще с юношества знал кем хочет стать. Он регулярно замечал, как превосходно в стране чувствуют себя правоохранительные органы, в частности те, кто приучен брать взятки. С этого момента он...

",https://filmshd.club/3638-simmba.html
"
Великий детектив
Год: 2019
Страна: Китай
Жанр: комедия, криминал, детектив
Длительность: 99 мин.

В центре сюжета китайский переводчик и писатель Бао Лан. Он свободно говорит на 6 языках, за что получил негласное прозвище «Человек-энциклопедия». Мужчина знает, как тяжело придумать и вдохнуть жизнь в литературного персонажа. Благо для его...

",https://filmshd.club/3637-velikij-detektiv.html
"
Ветер
Год: 2019
Страна: США
Жанр: ужасы, вестерн
Длительность: 88 мин.
IMDb: 6.3

Действие сюжета разворачивается в Америке, на Диком Западе в конце XIX века. Лиззи и ее муж живут посреди бескрайних прерий, на отдаленном ранчо, где на несколько миль вокруг нет ни единой живой души. Айзек отправляется на заработки в город, оставив...

",https://filmshd.club/3633-veter.html
"
Кладбище домашних животных
Год: 2019
Страна: США
Жанр: ужасы, триллер
Длительность: 96 мин.
КиноПоиск: 6.2
IMDb: 6.8

Доктор Луис Крид получает новое назначение, и в скором времени вместе с семейством отправляется в небольшой провинциальный городок штата Мэн. Мужчина заранее приобретает большой двухэтажный дом с участком, неподалеку от скоростной трассы, и все идет...

",https://filmshd.club/3184-kladbische-domashnih-zhivotnyh.html
"
Хардкор
Год: 2016
Страна: Россия, США
Жанр: боевик, фантастика
Длительность: 97 мин.
КиноПоиск: 7.1
IMDb: 6.7

Генри просыпается в незнакомом месте с полным отсутствием воспоминаний из прошлого. Он закрыт внутри лабораторной капсулы и не может высвободиться из заточения. Неожиданно в помещение заходит некая женщина, представившаяся Эстель. Она утверждает,...

",https://filmshd.club/3616-hardkor.html
"
Время монстров
Год: 2019
Страна: США
Жанр: ужасы, фэнтези
Длительность: 72 мин.
IMDb: 7.9

В средние века жители небольшого королевства постоянно подвергались нападениям страшных кровожадных чудовищ. Люди боялись выходить из-за городских стен, чтобы не попасть в лапы безжалостных прожорливых монстров, их жизнь стала скучна и однообразна,...

",https://filmshd.club/3346-vremya-monstrov.html
"
Страна чудес
Год: 2016
Страна: Россия
Жанр: комедия, фантастика
Длительность: 83 мин.
КиноПоиск: 4.1
IMDb: 4

Недаром в народе говорят, что в новогоднюю ночь случаются немыслимые чудеса. Не обязательно быть ребенком, чтобы верить в зимнюю сказку. Главное сохранять в душе юношеский авантюризм и положительный настрой – тогда обязательно осуществляться самые...

",https://filmshd.club/3615-strana-chudes.html
"
Золото
Год: 2017
Страна: США
Жанр: триллер, драма, приключения
Длительность: 120 мин.
КиноПоиск: 6.9
IMDb: 6.7

В 1981 году Кенни Уэллс руководит вместе с отцом успешной горнодобывающей компанией «Washoe», но спустя семь лет они терпят существенные убытки, разоряются, а старик умирает. Оставшись без работы и средств для существования, мужчина живет на полном...

",https://filmshd.club/3614-zoloto.html
"
Автобан
Год: 2017
Страна: Великобритания, Германия, Китай, США
Жанр: боевик, триллер, криминал
Длительность: 99 мин.
КиноПоиск: 5.6
IMDb: 5.7

Бывалый авантюрист Кейси Штайн перебрался жить в Германию под крыло криминального авторитета Герана. Вместе с товарищем Матиасом он выполняет различные поручения по угону автомобилей и транспортировке наркотиков. В одном из ночных клубов Кельна,...

",https://filmshd.club/3613-avtoban.html
"
Персональный покупатель
Год: 2017
Страна: Франция, Германия, Чехия, Бельгия
Жанр: ужасы, триллер, драма, детектив
Длительность: 105 мин.
КиноПоиск: 5.8
IMDb: 6.2

Морин Картрайт вместе с братом Льюисом имеет врожденный порок сердца, осознавая возможность собственной кончины в любой момент. По этой причине она заключила с ним сделку на случай смерти одного из них. Если кто-либо умрет первый – то он обязательно...

",https://filmshd.club/3612-personalnyj-pokupatel.html
